0.039878,1.447,0.021017,0.15834,0.86148,0.9538,-1.4838,0.21813
0.27229,-0.5316,0.57022,-1.1805,-0.58489,0.17715,0.602,0.12998
0.92782,0.34173,0.13696,-1.5405,-0.0041988,-1.2973,0.21217,-1.4385
-0.26362,-1.0675,-0.73487,0.38489,1.146,-0.21478,-0.86189,-0.18971
-1.4094,-0.43993,0.49387,0.72463,-0.36838,-0.056241,0.065271,0.64708
-0.23178,-0.5807,-1.5367,-1.7273,0.68848,-0.21808,1.2875,-0.22297
0.6104,-0.089492,1.5917,0.12886,1.0015,1.5082,0.58866,-0.22347
0.19703,-0.33255,1.3596,-1.5589,-1.6152,1.5847,-1.5274,-1.3981
-0.27937,-0.91284,1.1622,-0.2756,1.5135,0.233,0.55985,0.13579
-1.162,0.4996,1.5264,-0.52814,0.85331,1.6151,-0.82142,-1.2934
0.73227,1.6165,0.3972,-1.4015,-1.2296,-0.86544,-0.098937,-1.7247
1.7094,-1.1683,-1.3296,-1.0799,0.73946,-0.38609,0.4236,0.9466
1.1272,-0.33852,-0.29303,-0.52779,-1.2332,0.18019,-0.25148,-0.86095
-0.59955,0.40444,0.48905,-0.53995,1.1914,1.2633,-1.3769,-1.1812
-0.12814,-1.0756,-0.10426,-0.87484,-1.6674,0.44801,-0.94847,-1.0268
-0.94149,-0.23508,1.1962,1.1256,-1.0681,-0.1383,-0.8171,0.32042
1.2883,-1.4959,0.97377,-1.6901,0.85574,1.4748,0.85723,-0.66603
0.18026,-0.29394,-0.077471,0.55294,1.6431,0.19007,-1.191,0.22261
0.45631,0.069717,0.43621,0.36356,0.791,-0.98348,1.0759,-0.015641
-1.5746,-0.17485,-0.82582,1.6039,0.64417,0.3374,1.6655,0.7002
0.10355,-0.78065,0.99429,1.3126,-1.1565,-0.26792,0.29563,-1.1401
-0.26462,-0.55057,-0.2928,-0.59891,0.46696,0.60718,-1.6875,1.1651
0.066822,0.80956,-0.13073,0.49171,-0.14581,-1.2982,-0.68013,-1.2577
-0.75118,-1.0814,0.090983,0.63112,-0.90573,-0.20243,0.80633,-0.6609
1.0773,1.2245,1.3324,-1.6526,1.3092,-1.3474,1.3554,1.7062
-0.76563,0.65738,0.8231,-0.27531,0.20942,-1.3297,-0.43129,-0.17917
-1.2661,-0.36782,-0.35851,-0.11785,-1.6251,1.2659,-1.7265,-0.59478
1.2976,-1.1642,-1.4127,-0.57018,1.2879,1.0728,1.2644,-1.2873
