0.045738,0.063355,1.4524,0.99769,0.67262,0.20788,0.078274,1.4437,1.4071,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.0056188,0.054369,0.30769,0.29154,-0.1259,-0.35754,0.036899,-0.10699
-0.34786,-0.43846,-0.30014,-0.27882,-0.31816,-0.43741,-0.34379,-0.63774,-0.28149,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.20814,-0.28717,-0.36824,-0.54071,-0.14817,-0.20324,-0.66342,0.32774
-0.32912,-0.405,-0.80822,-0.69092,-0.59857,-0.67939,-0.49727,-0.79944,-0.51164,-0.31756,-0.35343,-0.34977,-0.30259,-0.12745,-0.40922,-0.43932,-0.84771,-0.74092,-0.13783,-0.62304,-0.74485,0.6538
0.66425,-0.43846,1.4359,0.45995,0.45453,5.7614,6.5493,-0.066889,-0.47044,0.20815,0.26309,0.31641,0.29495,-0.19752,0.92844,0.59069,4.5355,4.9697,-0.14817,-0.63513,-0.53393,-1.7373
-0.32912,-0.43846,-0.65273,-0.62056,-0.41786,-0.59873,-0.42053,-0.73308,-0.32574,-0.31756,-0.34028,-0.34359,-0.30259,-0.19752,-0.30904,-0.26922,-0.30016,-0.42055,5.2438,-0.673,-3.1471,-4.5631
-0.32912,-0.405,0.87455,0.34436,-0.043982,-0.59873,-0.34379,0.79672,0.84187,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.14976,-0.01744,-0.68515,-0.51893,-0.12431,0.8076,0.012144,0.32774
0.064481,0.63207,0.64194,0.1182,-0.24339,-0.27609,0.039905,-0.17443,0.21923,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.45247,-0.46625,0.11367,-0.34301,-0.11317,0.90832,0.65848,0.21906
-0.34786,-0.405,-0.88718,-0.60549,-0.66089,-0.67939,-0.49727,-0.62752,-0.09344,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.59661,-0.55601,-0.82376,-0.88265,-0.14817,1.9925,1.1628,0.6538
0.38311,1.3681,-0.89514,-0.91708,-0.72943,-0.67939,-0.49727,-0.81926,-0.59995,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.59661,-0.55601,-0.82323,-0.88228,-0.14021,1.1859,0.9468,0.6538
-0.29163,-0.43846,1.3808,-0.047643,-0.0065942,-0.67939,-0.49727,-0.56629,-0.3855,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.23625,1.6252,-0.81974,-0.82783,-0.13385,-0.27697,1.0477,-0.10699
-0.29163,-0.37155,0.070201,1.8621,0.12426,0.12722,0.19146,3.4747,1.2979,0.50964,1.0768,1.1365,1.3977,-0.12745,-0.45247,-0.44829,1.8787,0.15945,-0.14578,-0.6448,-0.51394,-0.21568
-0.31038,-0.405,0.82986,0.22877,0.2302,-0.034101,0.19146,0.68318,0.45551,3.2927,1.4048,1.3463,1.0329,1.2705,-0.078412,-0.063218,0.064466,0.092535,-0.13067,-0.64641,-0.80241,-0.21568
-0.2354,-0.37155,-0.10916,-0.1381,0.099339,-0.43741,-0.11357,-0.44806,1.0244,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.39481,-0.39444,-0.34779,-0.39956,-0.13067,-0.5469,0.47163,0.32774
